Sample	command
SRR1945721_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945721_fastp.html -j fastp_output/SRR1945721_pe_fastp.json -i SRR1945721_1.fastq.gz -I SRR1945721_2.fastq.gz -o trimmed_reads/SRR1945721_1_trim.fastq.gz -O trimmed_reads/SRR1945721_2_trim.fastq.gz 
SRR1945722_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945722_fastp.html -j fastp_output/SRR1945722_pe_fastp.json -i SRR1945722_1.fastq.gz -I SRR1945722_2.fastq.gz -o trimmed_reads/SRR1945722_1_trim.fastq.gz -O trimmed_reads/SRR1945722_2_trim.fastq.gz 
SRR1945723_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945723_fastp.html -j fastp_output/SRR1945723_pe_fastp.json -i SRR1945723_1.fastq.gz -I SRR1945723_2.fastq.gz -o trimmed_reads/SRR1945723_1_trim.fastq.gz -O trimmed_reads/SRR1945723_2_trim.fastq.gz 
SRR1945724_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945724_fastp.html -j fastp_output/SRR1945724_pe_fastp.json -i SRR1945724_1.fastq.gz -I SRR1945724_2.fastq.gz -o trimmed_reads/SRR1945724_1_trim.fastq.gz -O trimmed_reads/SRR1945724_2_trim.fastq.gz 
SRR1945725_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945725_fastp.html -j fastp_output/SRR1945725_pe_fastp.json -i SRR1945725_1.fastq.gz -I SRR1945725_2.fastq.gz -o trimmed_reads/SRR1945725_1_trim.fastq.gz -O trimmed_reads/SRR1945725_2_trim.fastq.gz 
SRR1945726_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945726_fastp.html -j fastp_output/SRR1945726_pe_fastp.json -i SRR1945726_1.fastq.gz -I SRR1945726_2.fastq.gz -o trimmed_reads/SRR1945726_1_trim.fastq.gz -O trimmed_reads/SRR1945726_2_trim.fastq.gz 
SRR1945727_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945727_fastp.html -j fastp_output/SRR1945727_pe_fastp.json -i SRR1945727_1.fastq.gz -I SRR1945727_2.fastq.gz -o trimmed_reads/SRR1945727_1_trim.fastq.gz -O trimmed_reads/SRR1945727_2_trim.fastq.gz 
SRR1945728_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945728_fastp.html -j fastp_output/SRR1945728_pe_fastp.json -i SRR1945728_1.fastq.gz -I SRR1945728_2.fastq.gz -o trimmed_reads/SRR1945728_1_trim.fastq.gz -O trimmed_reads/SRR1945728_2_trim.fastq.gz 
SRR1945729_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945729_fastp.html -j fastp_output/SRR1945729_pe_fastp.json -i SRR1945729_1.fastq.gz -I SRR1945729_2.fastq.gz -o trimmed_reads/SRR1945729_1_trim.fastq.gz -O trimmed_reads/SRR1945729_2_trim.fastq.gz 
SRR1945730_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945730_fastp.html -j fastp_output/SRR1945730_pe_fastp.json -i SRR1945730_1.fastq.gz -I SRR1945730_2.fastq.gz -o trimmed_reads/SRR1945730_1_trim.fastq.gz -O trimmed_reads/SRR1945730_2_trim.fastq.gz 
SRR1945731_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945731_fastp.html -j fastp_output/SRR1945731_pe_fastp.json -i SRR1945731_1.fastq.gz -I SRR1945731_2.fastq.gz -o trimmed_reads/SRR1945731_1_trim.fastq.gz -O trimmed_reads/SRR1945731_2_trim.fastq.gz 
SRR1945732_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945732_fastp.html -j fastp_output/SRR1945732_pe_fastp.json -i SRR1945732_1.fastq.gz -I SRR1945732_2.fastq.gz -o trimmed_reads/SRR1945732_1_trim.fastq.gz -O trimmed_reads/SRR1945732_2_trim.fastq.gz 
SRR1945733_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945733_fastp.html -j fastp_output/SRR1945733_pe_fastp.json -i SRR1945733_1.fastq.gz -I SRR1945733_2.fastq.gz -o trimmed_reads/SRR1945733_1_trim.fastq.gz -O trimmed_reads/SRR1945733_2_trim.fastq.gz 
SRR1945734_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945734_fastp.html -j fastp_output/SRR1945734_pe_fastp.json -i SRR1945734_1.fastq.gz -I SRR1945734_2.fastq.gz -o trimmed_reads/SRR1945734_1_trim.fastq.gz -O trimmed_reads/SRR1945734_2_trim.fastq.gz 
SRR1945735_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945735_fastp.html -j fastp_output/SRR1945735_pe_fastp.json -i SRR1945735_1.fastq.gz -I SRR1945735_2.fastq.gz -o trimmed_reads/SRR1945735_1_trim.fastq.gz -O trimmed_reads/SRR1945735_2_trim.fastq.gz 
SRR1945736_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945736_fastp.html -j fastp_output/SRR1945736_pe_fastp.json -i SRR1945736_1.fastq.gz -I SRR1945736_2.fastq.gz -o trimmed_reads/SRR1945736_1_trim.fastq.gz -O trimmed_reads/SRR1945736_2_trim.fastq.gz 
SRR1945737_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945737_fastp.html -j fastp_output/SRR1945737_pe_fastp.json -i SRR1945737_1.fastq.gz -I SRR1945737_2.fastq.gz -o trimmed_reads/SRR1945737_1_trim.fastq.gz -O trimmed_reads/SRR1945737_2_trim.fastq.gz 
SRR1945738_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945738_fastp.html -j fastp_output/SRR1945738_pe_fastp.json -i SRR1945738_1.fastq.gz -I SRR1945738_2.fastq.gz -o trimmed_reads/SRR1945738_1_trim.fastq.gz -O trimmed_reads/SRR1945738_2_trim.fastq.gz 
SRR1945739_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945739_fastp.html -j fastp_output/SRR1945739_pe_fastp.json -i SRR1945739_1.fastq.gz -I SRR1945739_2.fastq.gz -o trimmed_reads/SRR1945739_1_trim.fastq.gz -O trimmed_reads/SRR1945739_2_trim.fastq.gz 
SRR1945740_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945740_fastp.html -j fastp_output/SRR1945740_pe_fastp.json -i SRR1945740_1.fastq.gz -I SRR1945740_2.fastq.gz -o trimmed_reads/SRR1945740_1_trim.fastq.gz -O trimmed_reads/SRR1945740_2_trim.fastq.gz 
SRR1945741_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945741_fastp.html -j fastp_output/SRR1945741_pe_fastp.json -i SRR1945741_1.fastq.gz -I SRR1945741_2.fastq.gz -o trimmed_reads/SRR1945741_1_trim.fastq.gz -O trimmed_reads/SRR1945741_2_trim.fastq.gz 
SRR1945742_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945742_fastp.html -j fastp_output/SRR1945742_pe_fastp.json -i SRR1945742_1.fastq.gz -I SRR1945742_2.fastq.gz -o trimmed_reads/SRR1945742_1_trim.fastq.gz -O trimmed_reads/SRR1945742_2_trim.fastq.gz 
SRR1945743_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945743_fastp.html -j fastp_output/SRR1945743_pe_fastp.json -i SRR1945743_1.fastq.gz -I SRR1945743_2.fastq.gz -o trimmed_reads/SRR1945743_1_trim.fastq.gz -O trimmed_reads/SRR1945743_2_trim.fastq.gz 
SRR1945744_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945744_fastp.html -j fastp_output/SRR1945744_pe_fastp.json -i SRR1945744_1.fastq.gz -I SRR1945744_2.fastq.gz -o trimmed_reads/SRR1945744_1_trim.fastq.gz -O trimmed_reads/SRR1945744_2_trim.fastq.gz 
SRR1945745_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945745_fastp.html -j fastp_output/SRR1945745_pe_fastp.json -i SRR1945745_1.fastq.gz -I SRR1945745_2.fastq.gz -o trimmed_reads/SRR1945745_1_trim.fastq.gz -O trimmed_reads/SRR1945745_2_trim.fastq.gz 
SRR1945746_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945746_fastp.html -j fastp_output/SRR1945746_pe_fastp.json -i SRR1945746_1.fastq.gz -I SRR1945746_2.fastq.gz -o trimmed_reads/SRR1945746_1_trim.fastq.gz -O trimmed_reads/SRR1945746_2_trim.fastq.gz 
SRR1945747_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945747_fastp.html -j fastp_output/SRR1945747_pe_fastp.json -i SRR1945747_1.fastq.gz -I SRR1945747_2.fastq.gz -o trimmed_reads/SRR1945747_1_trim.fastq.gz -O trimmed_reads/SRR1945747_2_trim.fastq.gz 
SRR1945748_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945748_fastp.html -j fastp_output/SRR1945748_pe_fastp.json -i SRR1945748_1.fastq.gz -I SRR1945748_2.fastq.gz -o trimmed_reads/SRR1945748_1_trim.fastq.gz -O trimmed_reads/SRR1945748_2_trim.fastq.gz 
SRR1945749_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945749_fastp.html -j fastp_output/SRR1945749_pe_fastp.json -i SRR1945749_1.fastq.gz -I SRR1945749_2.fastq.gz -o trimmed_reads/SRR1945749_1_trim.fastq.gz -O trimmed_reads/SRR1945749_2_trim.fastq.gz 
SRR1945750_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945750_fastp.html -j fastp_output/SRR1945750_pe_fastp.json -i SRR1945750_1.fastq.gz -I SRR1945750_2.fastq.gz -o trimmed_reads/SRR1945750_1_trim.fastq.gz -O trimmed_reads/SRR1945750_2_trim.fastq.gz 
SRR1945751_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945751_fastp.html -j fastp_output/SRR1945751_pe_fastp.json -i SRR1945751_1.fastq.gz -I SRR1945751_2.fastq.gz -o trimmed_reads/SRR1945751_1_trim.fastq.gz -O trimmed_reads/SRR1945751_2_trim.fastq.gz 
SRR1945752_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945752_fastp.html -j fastp_output/SRR1945752_pe_fastp.json -i SRR1945752_1.fastq.gz -I SRR1945752_2.fastq.gz -o trimmed_reads/SRR1945752_1_trim.fastq.gz -O trimmed_reads/SRR1945752_2_trim.fastq.gz 
SRR1945753_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945753_fastp.html -j fastp_output/SRR1945753_pe_fastp.json -i SRR1945753_1.fastq.gz -I SRR1945753_2.fastq.gz -o trimmed_reads/SRR1945753_1_trim.fastq.gz -O trimmed_reads/SRR1945753_2_trim.fastq.gz 
SRR1945754_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945754_fastp.html -j fastp_output/SRR1945754_pe_fastp.json -i SRR1945754_1.fastq.gz -I SRR1945754_2.fastq.gz -o trimmed_reads/SRR1945754_1_trim.fastq.gz -O trimmed_reads/SRR1945754_2_trim.fastq.gz 
SRR1945755_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945755_fastp.html -j fastp_output/SRR1945755_pe_fastp.json -i SRR1945755_1.fastq.gz -I SRR1945755_2.fastq.gz -o trimmed_reads/SRR1945755_1_trim.fastq.gz -O trimmed_reads/SRR1945755_2_trim.fastq.gz 
SRR1945756_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945756_fastp.html -j fastp_output/SRR1945756_pe_fastp.json -i SRR1945756_1.fastq.gz -I SRR1945756_2.fastq.gz -o trimmed_reads/SRR1945756_1_trim.fastq.gz -O trimmed_reads/SRR1945756_2_trim.fastq.gz 
SRR1945757_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945757_fastp.html -j fastp_output/SRR1945757_pe_fastp.json -i SRR1945757_1.fastq.gz -I SRR1945757_2.fastq.gz -o trimmed_reads/SRR1945757_1_trim.fastq.gz -O trimmed_reads/SRR1945757_2_trim.fastq.gz 
SRR1945758_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945758_fastp.html -j fastp_output/SRR1945758_pe_fastp.json -i SRR1945758_1.fastq.gz -I SRR1945758_2.fastq.gz -o trimmed_reads/SRR1945758_1_trim.fastq.gz -O trimmed_reads/SRR1945758_2_trim.fastq.gz 
SRR1945759_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945759_fastp.html -j fastp_output/SRR1945759_pe_fastp.json -i SRR1945759_1.fastq.gz -I SRR1945759_2.fastq.gz -o trimmed_reads/SRR1945759_1_trim.fastq.gz -O trimmed_reads/SRR1945759_2_trim.fastq.gz 
SRR1945760_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945760_fastp.html -j fastp_output/SRR1945760_pe_fastp.json -i SRR1945760_1.fastq.gz -I SRR1945760_2.fastq.gz -o trimmed_reads/SRR1945760_1_trim.fastq.gz -O trimmed_reads/SRR1945760_2_trim.fastq.gz 
SRR1945761_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945761_fastp.html -j fastp_output/SRR1945761_pe_fastp.json -i SRR1945761_1.fastq.gz -I SRR1945761_2.fastq.gz -o trimmed_reads/SRR1945761_1_trim.fastq.gz -O trimmed_reads/SRR1945761_2_trim.fastq.gz 
SRR1945762_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945762_fastp.html -j fastp_output/SRR1945762_pe_fastp.json -i SRR1945762_1.fastq.gz -I SRR1945762_2.fastq.gz -o trimmed_reads/SRR1945762_1_trim.fastq.gz -O trimmed_reads/SRR1945762_2_trim.fastq.gz 
SRR1945763_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945763_fastp.html -j fastp_output/SRR1945763_pe_fastp.json -i SRR1945763_1.fastq.gz -I SRR1945763_2.fastq.gz -o trimmed_reads/SRR1945763_1_trim.fastq.gz -O trimmed_reads/SRR1945763_2_trim.fastq.gz 
SRR1945764_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945764_fastp.html -j fastp_output/SRR1945764_pe_fastp.json -i SRR1945764_1.fastq.gz -I SRR1945764_2.fastq.gz -o trimmed_reads/SRR1945764_1_trim.fastq.gz -O trimmed_reads/SRR1945764_2_trim.fastq.gz 
SRR1945765_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945765_fastp.html -j fastp_output/SRR1945765_pe_fastp.json -i SRR1945765_1.fastq.gz -I SRR1945765_2.fastq.gz -o trimmed_reads/SRR1945765_1_trim.fastq.gz -O trimmed_reads/SRR1945765_2_trim.fastq.gz 
SRR1945766_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945766_fastp.html -j fastp_output/SRR1945766_pe_fastp.json -i SRR1945766_1.fastq.gz -I SRR1945766_2.fastq.gz -o trimmed_reads/SRR1945766_1_trim.fastq.gz -O trimmed_reads/SRR1945766_2_trim.fastq.gz 
SRR1945767_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945767_fastp.html -j fastp_output/SRR1945767_pe_fastp.json -i SRR1945767_1.fastq.gz -I SRR1945767_2.fastq.gz -o trimmed_reads/SRR1945767_1_trim.fastq.gz -O trimmed_reads/SRR1945767_2_trim.fastq.gz 
SRR1945768_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945768_fastp.html -j fastp_output/SRR1945768_pe_fastp.json -i SRR1945768_1.fastq.gz -I SRR1945768_2.fastq.gz -o trimmed_reads/SRR1945768_1_trim.fastq.gz -O trimmed_reads/SRR1945768_2_trim.fastq.gz 
SRR1945769_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945769_fastp.html -j fastp_output/SRR1945769_pe_fastp.json -i SRR1945769_1.fastq.gz -I SRR1945769_2.fastq.gz -o trimmed_reads/SRR1945769_1_trim.fastq.gz -O trimmed_reads/SRR1945769_2_trim.fastq.gz 
SRR1945770_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945770_fastp.html -j fastp_output/SRR1945770_pe_fastp.json -i SRR1945770_1.fastq.gz -I SRR1945770_2.fastq.gz -o trimmed_reads/SRR1945770_1_trim.fastq.gz -O trimmed_reads/SRR1945770_2_trim.fastq.gz 
SRR1945771_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945771_fastp.html -j fastp_output/SRR1945771_pe_fastp.json -i SRR1945771_1.fastq.gz -I SRR1945771_2.fastq.gz -o trimmed_reads/SRR1945771_1_trim.fastq.gz -O trimmed_reads/SRR1945771_2_trim.fastq.gz 
SRR1945772_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945772_fastp.html -j fastp_output/SRR1945772_pe_fastp.json -i SRR1945772_1.fastq.gz -I SRR1945772_2.fastq.gz -o trimmed_reads/SRR1945772_1_trim.fastq.gz -O trimmed_reads/SRR1945772_2_trim.fastq.gz 
SRR1945773_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945773_fastp.html -j fastp_output/SRR1945773_pe_fastp.json -i SRR1945773_1.fastq.gz -I SRR1945773_2.fastq.gz -o trimmed_reads/SRR1945773_1_trim.fastq.gz -O trimmed_reads/SRR1945773_2_trim.fastq.gz 
SRR1945774_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945774_fastp.html -j fastp_output/SRR1945774_pe_fastp.json -i SRR1945774_1.fastq.gz -I SRR1945774_2.fastq.gz -o trimmed_reads/SRR1945774_1_trim.fastq.gz -O trimmed_reads/SRR1945774_2_trim.fastq.gz 
SRR1945775_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945775_fastp.html -j fastp_output/SRR1945775_pe_fastp.json -i SRR1945775_1.fastq.gz -I SRR1945775_2.fastq.gz -o trimmed_reads/SRR1945775_1_trim.fastq.gz -O trimmed_reads/SRR1945775_2_trim.fastq.gz 
SRR1945776_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945776_fastp.html -j fastp_output/SRR1945776_pe_fastp.json -i SRR1945776_1.fastq.gz -I SRR1945776_2.fastq.gz -o trimmed_reads/SRR1945776_1_trim.fastq.gz -O trimmed_reads/SRR1945776_2_trim.fastq.gz 
SRR1945777_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945777_fastp.html -j fastp_output/SRR1945777_pe_fastp.json -i SRR1945777_1.fastq.gz -I SRR1945777_2.fastq.gz -o trimmed_reads/SRR1945777_1_trim.fastq.gz -O trimmed_reads/SRR1945777_2_trim.fastq.gz 
SRR1945778_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945778_fastp.html -j fastp_output/SRR1945778_pe_fastp.json -i SRR1945778_1.fastq.gz -I SRR1945778_2.fastq.gz -o trimmed_reads/SRR1945778_1_trim.fastq.gz -O trimmed_reads/SRR1945778_2_trim.fastq.gz 
SRR1945779_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945779_fastp.html -j fastp_output/SRR1945779_pe_fastp.json -i SRR1945779_1.fastq.gz -I SRR1945779_2.fastq.gz -o trimmed_reads/SRR1945779_1_trim.fastq.gz -O trimmed_reads/SRR1945779_2_trim.fastq.gz 
SRR1945780_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945780_fastp.html -j fastp_output/SRR1945780_pe_fastp.json -i SRR1945780_1.fastq.gz -I SRR1945780_2.fastq.gz -o trimmed_reads/SRR1945780_1_trim.fastq.gz -O trimmed_reads/SRR1945780_2_trim.fastq.gz 
SRR1945781_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945781_fastp.html -j fastp_output/SRR1945781_pe_fastp.json -i SRR1945781_1.fastq.gz -I SRR1945781_2.fastq.gz -o trimmed_reads/SRR1945781_1_trim.fastq.gz -O trimmed_reads/SRR1945781_2_trim.fastq.gz 
SRR1945782_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945782_fastp.html -j fastp_output/SRR1945782_pe_fastp.json -i SRR1945782_1.fastq.gz -I SRR1945782_2.fastq.gz -o trimmed_reads/SRR1945782_1_trim.fastq.gz -O trimmed_reads/SRR1945782_2_trim.fastq.gz 
SRR1945783_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945783_fastp.html -j fastp_output/SRR1945783_pe_fastp.json -i SRR1945783_1.fastq.gz -I SRR1945783_2.fastq.gz -o trimmed_reads/SRR1945783_1_trim.fastq.gz -O trimmed_reads/SRR1945783_2_trim.fastq.gz 
SRR1945784_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945784_fastp.html -j fastp_output/SRR1945784_pe_fastp.json -i SRR1945784_1.fastq.gz -I SRR1945784_2.fastq.gz -o trimmed_reads/SRR1945784_1_trim.fastq.gz -O trimmed_reads/SRR1945784_2_trim.fastq.gz 
SRR1945785_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945785_fastp.html -j fastp_output/SRR1945785_pe_fastp.json -i SRR1945785_1.fastq.gz -I SRR1945785_2.fastq.gz -o trimmed_reads/SRR1945785_1_trim.fastq.gz -O trimmed_reads/SRR1945785_2_trim.fastq.gz 
SRR1945786_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945786_fastp.html -j fastp_output/SRR1945786_pe_fastp.json -i SRR1945786_1.fastq.gz -I SRR1945786_2.fastq.gz -o trimmed_reads/SRR1945786_1_trim.fastq.gz -O trimmed_reads/SRR1945786_2_trim.fastq.gz 
SRR1945787_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945787_fastp.html -j fastp_output/SRR1945787_pe_fastp.json -i SRR1945787_1.fastq.gz -I SRR1945787_2.fastq.gz -o trimmed_reads/SRR1945787_1_trim.fastq.gz -O trimmed_reads/SRR1945787_2_trim.fastq.gz 
SRR1945788_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945788_fastp.html -j fastp_output/SRR1945788_pe_fastp.json -i SRR1945788_1.fastq.gz -I SRR1945788_2.fastq.gz -o trimmed_reads/SRR1945788_1_trim.fastq.gz -O trimmed_reads/SRR1945788_2_trim.fastq.gz 
SRR1945789_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945789_fastp.html -j fastp_output/SRR1945789_pe_fastp.json -i SRR1945789_1.fastq.gz -I SRR1945789_2.fastq.gz -o trimmed_reads/SRR1945789_1_trim.fastq.gz -O trimmed_reads/SRR1945789_2_trim.fastq.gz 
SRR1945790_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945790_fastp.html -j fastp_output/SRR1945790_pe_fastp.json -i SRR1945790_1.fastq.gz -I SRR1945790_2.fastq.gz -o trimmed_reads/SRR1945790_1_trim.fastq.gz -O trimmed_reads/SRR1945790_2_trim.fastq.gz 
SRR1945791_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945791_fastp.html -j fastp_output/SRR1945791_pe_fastp.json -i SRR1945791_1.fastq.gz -I SRR1945791_2.fastq.gz -o trimmed_reads/SRR1945791_1_trim.fastq.gz -O trimmed_reads/SRR1945791_2_trim.fastq.gz 
SRR1945792_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945792_fastp.html -j fastp_output/SRR1945792_pe_fastp.json -i SRR1945792_1.fastq.gz -I SRR1945792_2.fastq.gz -o trimmed_reads/SRR1945792_1_trim.fastq.gz -O trimmed_reads/SRR1945792_2_trim.fastq.gz 
SRR1945793_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945793_fastp.html -j fastp_output/SRR1945793_pe_fastp.json -i SRR1945793_1.fastq.gz -I SRR1945793_2.fastq.gz -o trimmed_reads/SRR1945793_1_trim.fastq.gz -O trimmed_reads/SRR1945793_2_trim.fastq.gz 
SRR1945794_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945794_fastp.html -j fastp_output/SRR1945794_pe_fastp.json -i SRR1945794_1.fastq.gz -I SRR1945794_2.fastq.gz -o trimmed_reads/SRR1945794_1_trim.fastq.gz -O trimmed_reads/SRR1945794_2_trim.fastq.gz 
SRR1945795_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945795_fastp.html -j fastp_output/SRR1945795_pe_fastp.json -i SRR1945795_1.fastq.gz -I SRR1945795_2.fastq.gz -o trimmed_reads/SRR1945795_1_trim.fastq.gz -O trimmed_reads/SRR1945795_2_trim.fastq.gz 
SRR1945796_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945796_fastp.html -j fastp_output/SRR1945796_pe_fastp.json -i SRR1945796_1.fastq.gz -I SRR1945796_2.fastq.gz -o trimmed_reads/SRR1945796_1_trim.fastq.gz -O trimmed_reads/SRR1945796_2_trim.fastq.gz 
SRR1945797_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945797_fastp.html -j fastp_output/SRR1945797_pe_fastp.json -i SRR1945797_1.fastq.gz -I SRR1945797_2.fastq.gz -o trimmed_reads/SRR1945797_1_trim.fastq.gz -O trimmed_reads/SRR1945797_2_trim.fastq.gz 
SRR1945798_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945798_fastp.html -j fastp_output/SRR1945798_pe_fastp.json -i SRR1945798_1.fastq.gz -I SRR1945798_2.fastq.gz -o trimmed_reads/SRR1945798_1_trim.fastq.gz -O trimmed_reads/SRR1945798_2_trim.fastq.gz 
SRR1945799_1	scripts/fastp --dont_eval_duplication --thread 4 -q 20 -l 25 -h fastp_output/SRR1945799_fastp.html -j fastp_output/SRR1945799_pe_fastp.json -i SRR1945799_1.fastq.gz -I SRR1945799_2.fastq.gz -o trimmed_reads/SRR1945799_1_trim.fastq.gz -O trimmed_reads/SRR1945799_2_trim.fastq.gz 
